LATY DD offset,LONGX DD offset,sitename CDE,Demand,sitename CDE,Year
37.8142,-122.26,Westlake Middle,73.4%,Westlake Middle,2016-17
37.809,-122.283,West Oakland Middle,97.5%,West Oakland Middle,2016-17
37.7821,-122.224,Urban Promise Academy,92.9%,Urban Promise Academy,2016-17
37.7844,-122.219,United for Success Academy,47.7%,United for Success Academy,2016-17
37.8362,-122.212,Thornhill Elementary,111.8%,Thornhill Elementary,2016-17
37.7804,-122.232,Think College Now,78.4%,Think College Now,2016-17
37.8178,-122.265,Street Academy (Alternative),,Street Academy (Alternative),2016-17
37.7982,-122.164,Skyline High,68.3%,Skyline High,2016-17
37.8021,-122.211,Sequoia Elementary,148.4%,Sequoia Elementary,2016-17
37.8471,-122.264,Sankofa United,,Sankofa United,2016-17
,,Sankofa Academy,14.3%,Sankofa Academy,2016-17
,,Roots International Academy,37.5%,Roots International Academy,2016-17
37.7909,-122.238,Roosevelt Middle,72.5%,Roosevelt Middle,2016-17
37.7525,-122.178,Rise Community,15.9%,Rise Community,2016-17
37.7969,-122.187,Redwood Heights Elementary,125.0%,Redwood Heights Elementary,2016-17
37.7467,-122.162,Reach Academy,29.9%,Reach Academy,2016-17
37.8083,-122.298,Prescott,23.4%,Prescott,2016-17
37.8292,-122.249,Piedmont Avenue Elementary,39.1%,Piedmont Avenue Elementary,2016-17
37.8491,-122.258,Peralta Elementary,216.3%,Peralta Elementary,2016-17
37.7656,-122.166,Parker Elementary,24.3%,Parker Elementary,2016-17
37.8318,-122.254,Oakland Technical High,204.9%,Oakland Technical High,2016-17
,,Oakland School of Language,,Oakland School of Language,2016-17
37.8335,-122.261,Oakland International High,45.1%,Oakland International High,2016-17
37.805,-122.236,Oakland High,46.1%,Oakland High,2016-17
37.7534,-122.18,New Highland Academy,41.5%,New Highland Academy,2016-17
37.8197,-122.202,Montera Middle,123.7%,Montera Middle,2016-17
37.8315,-122.213,Montclair Elementary,152.9%,Montclair Elementary,2016-17
37.7969,-122.256,MetWest High,540.0%,MetWest High,2016-17
37.7804,-122.198,Melrose Leadership Academy,92.0%,Melrose Leadership Academy,2016-17
37.8179,-122.279,McClymonds High,23.8%,McClymonds High,2016-17
37.8058,-122.283,"Martin Luther King, Jr. Elementary",30.9%,"Martin Luther King, Jr. Elementary",2016-17
37.7653,-122.179,Markham Elementary,25.4%,Markham Elementary,2016-17
37.7922,-122.223,Manzanita SEED Elementary,47.2%,Manzanita SEED Elementary,2016-17
37.793,-122.225,Manzanita Community,36.5%,Manzanita Community,2016-17
37.7279,-122.177,Madison Park Academy TK-5,41.1%,Madison Park Academy TK-5,2016-17
37.7263,-122.178,Madison Park Academy 6-12,137.3%,Madison Park Academy 6-12,2016-17
37.8002,-122.267,Lincoln Elementary,128.7%,Lincoln Elementary,2016-17
37.786,-122.218,LIFE Academy,242.2%,LIFE Academy,2016-17
37.7929,-122.197,Laurel Elementary,19.6%,Laurel Elementary,2016-17
37.7958,-122.258,La Escuelita Elementary,56.0%,La Escuelita Elementary,2016-17
,,Kaiser Elementary,57.5%,Kaiser Elementary,2016-17
37.818,-122.203,Joaquin Miller Elementary,80.0%,Joaquin Miller Elementary,2016-17
37.7796,-122.23,International Community,90.0%,International Community,2016-17
37.7659,-122.155,"Independent Study, Sojourner Truth",,"Independent Study, Sojourner Truth",2016-17
37.7616,-122.151,Howard Elementary,16.2%,Howard Elementary,2016-17
37.7736,-122.203,Horace Mann Elementary,23.8%,Horace Mann Elementary,2016-17
37.8232,-122.275,Hoover Elementary,37.3%,Hoover Elementary,2016-17
37.8404,-122.233,Hillcrest Elementary,146.5%,Hillcrest Elementary,2016-17
37.7644,-122.195,Greenleaf Elementary,48.1%,Greenleaf Elementary,2016-17
37.7531,-122.125,Grass Valley Elementary,15.2%,Grass Valley Elementary,2016-17
37.7787,-122.211,Global Family,60.4%,Global Family,2016-17
37.8053,-122.219,Glenview Elementary,69.2%,Glenview Elementary,2016-17
37.7868,-122.236,Garfield Elementary,36.0%,Garfield Elementary,2016-17
37.7597,-122.195,Futures Elementary,29.2%,Futures Elementary,2016-17
37.7963,-122.214,Fruitvale Elementary,17.2%,Fruitvale Elementary,2016-17
37.771,-122.184,Frick United Academy of Language,,Frick United Academy of Language,2016-17
,,Frick Middle,67.1%,Frick Middle,2016-17
37.7736,-122.209,Fremont High,36.3%,Fremont High,2016-17
37.7382,-122.175,Fred T. Korematsu Discovery Academy,33.3%,Fred T. Korematsu Discovery Academy,2016-17
37.7939,-122.249,Franklin Elementary,36.5%,Franklin Elementary,2016-17
37.7374,-122.173,Esperanza Elementary,68.1%,Esperanza Elementary,2016-17
37.7523,-122.184,EnCompass Academy Elementary,40.6%,EnCompass Academy Elementary,2016-17
37.8346,-122.257,Emerson Elementary,39.4%,Emerson Elementary,2016-17
37.7474,-122.167,Elmhurst United Middle,,Elmhurst United Middle,2016-17
,,Elmhurst Community Prep,49.2%,Elmhurst Community Prep,2016-17
37.8037,-122.23,Edna Brewer Middle,187.0%,Edna Brewer Middle,2016-17
37.7591,-122.174,East Oakland Pride Elementary,35.2%,East Oakland Pride Elementary,2016-17
37.8111,-122.227,Crocker Highlands Elementary,144.3%,Crocker Highlands Elementary,2016-17
37.7605,-122.192,Community United Elementary,54.1%,Community United Elementary,2016-17
37.7614,-122.194,Coliseum College Prep Academy,230.8%,Coliseum College Prep Academy,2016-17
37.8043,-122.244,Cleveland Elementary,121.0%,Cleveland Elementary,2016-17
37.8457,-122.252,Claremont Middle,112.3%,Claremont Middle,2016-17
37.8507,-122.242,Chabot Elementary,142.7%,Chabot Elementary,2016-17
37.7599,-122.164,Castlemont High,50.2%,Castlemont High,2016-17
37.7946,-122.174,Carl B. Munck Elementary,20.6%,Carl B. Munck Elementary,2016-17
37.7756,-122.167,Burckhalter Elementary,21.6%,Burckhalter Elementary,2016-17
37.7348,-122.189,Brookfield Elementary,42.9%,Brookfield Elementary,2016-17
37.7674,-122.207,Bridges Academy,34.9%,Bridges Academy,2016-17
37.8001,-122.207,Bret Harte Middle,58.1%,Bret Harte Middle,2016-17
37.8005,-122.237,Bella Vista Elementary,31.8%,Bella Vista Elementary,2016-17
,,Alliance Academy,54.8%,Alliance Academy,2016-17
37.7886,-122.205,Allendale Elementary,19.7%,Allendale Elementary,2016-17
37.7532,-122.186,ACORN Woodland Elementary,76.9%,ACORN Woodland Elementary,2016-17
